Book-Title,ISBN,Book-Author,Year-Of-Publication,Avg-rating,description,page,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
Ashes to Ashes,553579606,TAMI HOAG,2000,4.06,"He performs his profane ceremony in a wooded Minneapolis park, anointing his victims, then setting the bodies ablaze. He has already claimed three lives, and he wonít stop there. Only this time there is a witness. But she isnít talking. Enter Kate Conlan, former FBI agent turned victim/witness advocate. Not even she can tell if the reluctant witness is a potential victim or something more troubling still. Her superiors are interested only because the latest victim may be the daughter of Peter Bondurant, an enigmatic billionaire. When Peter pulls strings, Special Agent John Quinn gets assigned to the case. But the FBIís ace profiler of serial killers is the last person Kate wants to work with, not with their troubled history. Now she faces the most difficult role of her careeróand her life. For sheís the only woman who has what it takes to stop the killer . . . and the one woman he wants next. ìYouíll want to lock the doors while youíre reading.îóMinneapolis Star Tribune ìAn up-all-night read.îóThe Detroit News",592,Bantam,http://images.amazon.com/images/P/0553579606.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553579606.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553579606.01.LZZZZZZZ.jpg
At Home in Mitford (The Mitford Years),014025448X,Jan Karon,1996,4.12,"Enter the world of Mitford, and you won't want to leave.It's easy to feel at home in Mitford. In these high, green hills, the air is pure, the village is charming, and the people are generally lovable.Yet, Father Tim, the bachelor rector, wants something more. Enter a dog the size of a sofa who moves in and won't go away. Add an attractive neighbor who begins wearing a path through the hedge. Now, stir in a lovable but unloved boy, a mystifying jewel theft, and a secret that's sixty years old.Suddenly, Father Tim gets more than he bargained for. And readers get a rich, provincial comedy in which mysteries and miracles abound.- Includes new Readers' Guide to group discussion or personal reflection- Includes a new introduction by Professor Dale Brown, a friend of Jan Karon.",413,Viking Books,http://images.amazon.com/images/P/014025448X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014025448X.01.LZZZZZZZ.jpg
Atonement : A Novel,038572179X,IAN MCEWAN,2003,3.91,"Ian McEwan‚Äôs symphonic novel of love and war, childhood and class, guilt and forgiveness provides all the satisfaction of a brilliant narrative and the provocation we have come to expect from this master of English prose.On a hot summer day in 1935, thirteen-year-old Briony Tallis witnesses the flirtation between her older sister, Cecilia, and Robbie Turner, the son of a servant. But Briony‚Äôs incomplete grasp of adult motives and her precocious imagination bring about a crime that will change all their lives, a crime whose repercussions Atonement follows through the chaos and carnage of World War II and into the close of the twentieth century.",351,Anchor,http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg
B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),553280341,Sue Grafton,1986,3.88,"Although business has been slow lately for P.I. Kinsey Millhone, she's reluctant to take on the case of locating Beverly Danziger's sister Elaine Boldt. It's a small matter that Beverly should be able to handle herself. So why is she enlisting Kinsey's services? Beverly claims she needs Elaine's signature on some documents so that she can collect a small inheritance. But it doesn't sit well with Kinsey. And if there's something she's learned in her line of work, it's to always follow your instinctsÖ Kinsey's hunch proves true when she begins her inquiries into Elaine's whereabouts and discovers that the attractive widow was last seen in a flashy lynx coat boarding a plane for Boca Raton. But the more Kinsey searches for Elaine the more questions she encounters. Is Elaine's disappearance tied in to the brutal murder several months ago of one of her bridge partners? And what happened to Elaine's Persian cat who seems to have also vanished?",320,Bantam,http://images.amazon.com/images/P/0553280341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280341.01.LZZZZZZZ.jpg
Back Roads,451202341,Tawni O'Dell,2001,3.73,"Harley Altmyer should be in college drinking Rolling Rock and chasing girls. He should be freed from his closed-minded, stricken coal town, with its lack of jobs and no sense of humor. Instead, he's constantly reminded of just how messed up his life is.With his mother in jail for killing his abusive father, Harley is an orphan with the responsibilities of an adult and the fiery, aggressive libido of a teenager. Just nineteen years old, he's marooned in the Pennsylvania backwoods caring for his three younger sisters, whose feelings about him range from stifling dependence to loathing. And once he develops an obsession with the sexy, melancholic mother of two living down the road, those Victoria's Secret catalogs just won't do the trick anymore. He wants Callie Mercer so badly he fears he will explode. But it's the family secrets, the lies, and the unspoken truths that light the fuse and erupt into a series of staggering surprises, leaving what's left of his family in tatters. Through every ordeal, the unforgettable Harley could never know that his endearing humor, his love for his sisters, and his bumbling heroics would redeem them all.Funny and heartbreaking, Tawni O'Dell's pitch-perfect characters capture the maddening confusion of adolescence and the prickly nature of family with irony and unerring honesty. Back Roads is a riveting novel by a formidable new talent.""One day you're that guy who's happy he managed to survive high school and get that almighty piece of paper, and you're thinking you might try to get a job at Redi-Mix concrete where your dad's worked since the beginning of time. And at least you've got a family you can stand even if they are all sisters.",343,Signet Book,http://images.amazon.com/images/P/0451202341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451202341.01.LZZZZZZZ.jpg
Bag of Bones,067102423X,Stephen King,1999,3.9,"Four years after the sudden death of his wife, forty-year-old bestselling novelist Mike Noonan is still grieving. Unable to write, and plagued by vivid nightmares set at the western Maine summerhouse he calls Sara Laughs, Mike reluctantly returns to the lakeside getaway. There, he finds his beloved Yankee town held in the grip of a powerful millionaire, Max Devore, whose vindictive purpose is to take his three-year-old granddaughter, Kyra, away from her widowed young mother, Mattie. As Mike is drawn into Mattie and Kyra's struggle, as he falls in love with both of them, he is also drawn into the mystery of Sara Laughs, now the site of ghostly visitations and escalating terrors. What are the forces that have been unleashed here‚Äîand what do they want of Mike Noonan?It is no secret that King is one of our most mesmerizing storytellers. In Bag of Bones, he proves to be one of our most moving as well.(back cover)",736,Pocket,http://images.amazon.com/images/P/067102423X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067102423X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067102423X.01.LZZZZZZZ.jpg
Balzac and the Little Chinese Seamstress : A Novel,385722206,DAI SIJIE,2002,3.64,"In this enchanting tale about the magic of reading and the wonder of romantic awakening, two hapless city boys are exiled to a remote mountain village for reeducation during China's infamous Cultural Revolution. There they meet the daughter of the local tailor and discover a hidden stash of Western classics in Chinese translation. As they flirt with the seamstress and secretly devour these banned works, they find transit from their grim surroundings to worlds they never imagined.",184,Anchor,http://images.amazon.com/images/P/0385722206.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385722206.01.LZZZZZZZ.jpg
Bastard Out of Carolina,452269571,Dorothy Allison,1993,4.12,"Greenville County, South Carolina, is a wild, lush place that is home to the Boatwright family‚Äîa tight-knit clan of rough-hewn, hard-drinking men who shoot up each other's trucks, and indomitable women who get married young and age too quickly. At the heart of this story is Ruth Anne Boatwright, known simply as Bone, a bastard child who observes the world around her with a mercilessly keen perspective. When her stepfather Daddy Glen, ""cold as death, mean as a snake,"" becomes increasingly more vicious toward her, Bone finds herself caught in a family triangle that tests the loyalty of her mother, Anney‚Äîand leads to a final, harrowing encounter from which there can be no turning back.",320,Plume Books,http://images.amazon.com/images/P/0452269571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.LZZZZZZZ.jpg
Beach House,1551668998,Mary Alice Monroe,2002,3.49,"A companion novella for The Kissing Booth, by Reekles. It's summer, and for Rochelle and her best friend Lee, that means one thing: The beach house. They've spent every summer of their lives there, but things are different this year. For one thing, Rochelle is dating Lee's older brother Noah, who's also going to be there with them. Summer at the beach house has never been more fun - and never has it been more upside-down and inside-out. From kissing to sunbathing to volleyball, summer this year is going to be one hell of a ride.",52,Mira,http://images.amazon.com/images/P/1551668998.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668998.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668998.01.LZZZZZZZ.jpg
Beach Music,385413041,PAT CONROY,1995,4.16,"An American expatriate in Rome unearths his family legacy in this sweeping novel by the acclaimed author of The Prince of Tides and The Great Santini A Southerner living abroad, Jack McCall is scarred by tragedy and betrayal. His desperate desire to find peace after his wife‚Äôs suicide draws him into a painful, intimate search for the one haunting secret in his family‚Äôs past that can heal his anguished heart. Spanning three generations and two continents, from the contemporary ruins of the American South to the ancient ruins of Rome, from the unutterable horrors of the Holocaust to the lingering trauma of Vietnam, Beach Music sings with life‚Äôs pain and glory. It is a novel of lyric intensity and searing truth, another masterpiece among Pat Conroy‚Äôs legendary and beloved novels.",800,Nan A. Talese,http://images.amazon.com/images/P/0385413041.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385413041.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385413041.01.LZZZZZZZ.jpg
Before I Say Good-Bye,671004573,Mary Higgins Clark,2001,3.81,"A young woman probing into the mysterious circumstances of her husband's death receives a message from a medium claiming to be his channel in Mary Higgins Clark's #1 bestselling thriller, Before I Say Good-Bye. When Nell MacDermott learns that her husband, architect Adam Cauliff, and three of his business associates have died in an explosion of his new cabin cruiser, she is not only devastated but wracked with guilt. The last time she saw Adam, they had a bitter quarrel over her plan to run for the congressional seat long held by her grandfather; she had told him not to come home.As the investigation into the boat's explosion proceeds, Nell learns that it was not an accident but a bomb. Despite her skepticism, Nell is swayed by her great-aunt Gert, a believer in psychic powers, to see a medium claiming to be Adam's channel.While trying to unravel the threads of Adam's past and his violent end, Nell consults the medium, who transmits messages to her with instructions from Adam. The story reaches a powerful climax in Nell's final encounter with the medium, in which she learns the truth about the explosion--a truth she can't be allowed to live to tell.",256,Pocket,http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
Bel Canto: A Novel,60934417,Ann Patchett,2002,3.93,"In an unnamed South American country, a world-renowned soprano sings at a birthday party in honor of a visiting Japanese industrial titan. Alas, in the opening sequence, a ragtag band of 18 terrorists enters the vice-presidential mansion through the air conditioning ducts. Their quarry is the president, who has unfortunately stayed home to watch a favorite soap opera. And thus, from the beginning, things go awry.Among the hostages are Russian, Italian, and French diplomatic types. Swiss Red Cross negotiator Joachim Messner comes and goes, wrangling over terms and demands. Days stretch into weeks, the weeks into months. Joined by no common language except music, the 58 international hostages and their captors forge unexpected bonds. Time stands still, priorities rearrange themselves. Ultimately, of course, something has to give.Hearing opera sung live for the first time, a young priest reflects:  Never had he thought, never once, that such a woman existed, one who stood so close to God that God's own voice poured from her. How far she must have gone inside herself to call up that voice. It was as if the voice came from the center part of the earth and by the sheer effort and diligence of her will she had pulled it up through the dirt and rock and through the floorboards of the house, up into her feet, where it pulled through her, reaching, lifting, warmed by her, and then out of the white lily of her throat and straight to God in heaven. ",352,Perennial,http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
Beloved,452280621,Toni Morrison,1998,3.95,"Winner of the Pulitzer Prize, Toni Morrisonís Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past. Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Setheís house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.  Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Setheís terrible secret explodes into the present. Combining the visionary power of legend with the unassailable truth of history, Morrisonís unforgettable novel is one of the great and enduring works of American literature.",324,Plume Books,http://images.amazon.com/images/P/0452280621.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452280621.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452280621.01.LZZZZZZZ.jpg
Beloved (Plume Contemporary Fiction),452264464,Toni Morrison,1994,3.95,"Winner of the Pulitzer Prize, Toni Morrisonís Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past. Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has borne the unthinkable and not gone mad, yet she is still held captive by memories of Sweet Home, the beautiful farm where so many hideous things happened. Meanwhile Setheís house has long been troubled by the angry, destructive ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.  Sethe works at beating back the past, but it makes itself heard and felt incessantly in her memory and in the lives of those around her. When a mysterious teenage girl arrives, calling herself Beloved, Setheís terrible secret explodes into the present. Combining the visionary power of legend with the unassailable truth of history, Morrisonís unforgettable novel is one of the great and enduring works of American literature.",324,Plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
Betrayal in Death,425178579,Nora Roberts,2001,4.31,"At the luxurious Roarke Palace Hotel, a maid walks into suite 4602 for the nightly turndown - and steps into her worst nightmare. A killer leaves her dead, strangled by a thin silver wire. He's Sly Yost, a virtuoso of music and murder. A hit man for the elite. Lieutenant Eve Dallas knows him well. But in this twisted case, knowing the killer doesn't help solve the crime. Because there's someone else involved. Someone with a more personal motive. And Eve must face a terrifying possibility - that the real target may, in fact, be her husband Roarke...",355,Berkley Publishing Group,http://images.amazon.com/images/P/0425178579.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425178579.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425178579.01.LZZZZZZZ.jpg
Big Stone Gap: A Novel (Ballantine Reader's Circle),345438329,Adriana Trigiani,2001,3.86,"Nestled in the Blue Ridge Mountains of Virginia, the tiny town of Big Stone Gap is home to some of the most charming eccentrics in the state. Ave Maria Mulligan is the town's self-proclaimed spinster, a thirty-five year old pharmacist with a ""mountain girl's body and a flat behind."" She lives an amiable life with good friends and lots of hobbies until the fateful day in 1978 when she suddenly discovers that she's not who she always thought she was. Before she can blink, Ave's fielding marriage proposals, fighting off greedy family members, organizing a celebration for visiting celebrities, and planning the trip of a lifetime-a trip that could change her view of the world and her own place in it forever. Brimming with humor and wise notions of small-town life, Big Stone Gap is a gem of a book with a giant heart. . . .",320,Ballantine Books,http://images.amazon.com/images/P/0345438329.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.LZZZZZZZ.jpg
Big Trouble,425184129,Dave Barry,2002,3.83,"In the city of Coconut Grove, Florida, these things happen: A struggling adman named Eliot Arnold drives home from a meeting with the Client From Hell. His teenage son, Matt, fills a Squirtmaster 9000 for his turn at a high school game called Killer. Matt's intended victim, Jenny Herk, sits down in front of the TV with her mom for what she hopes will be a peaceful evening for once. Jenny's alcoholic and secretly embezzling stepfather, Arthur, emerges from the maid's room, angry at being rebuffed. Henry and Leonard, two hit men from New Jersey, pull up to the Herks' house for a real game of Killer, Arthur's embezzlement apparently not having been quite so secret to his employers after all. And a homeless man named Puggy settles down for the night in a treehouse just inside the Herks' yard. In a few minutes, a chain of events that will change the lives of each and every one of them will begin, and will leave some of them wiser, some of them deader, and some of them definitely looking for a new line of work. With a wicked wit, razor-sharp observations, rich characters, and a plot with more twists than the Inland Waterway, Dave Barry makes his debut a complete and utter triumph.",317,Berkley Publishing Group,http://images.amazon.com/images/P/0425184129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425184129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425184129.01.LZZZZZZZ.jpg
Billy Straight : A Novel,345413865,JONATHAN KELLERMAN,1999,3.89,"A resourceful runaway alone in the wilds of Los Angeles, twelve-year-old Billy Straight suddenly witnesses a brutal stabbing in Griffith Park. Fleeing into the night, Billy cannot shake the horrific memory of the savage violence, nor the pursuit of a cold-blooded killer. For wherever Billy turns --- from Hollywood Boulevard to the boardwalks of Venice --- he is haunted by the†chuck chuck†sound of a knife sinking into flesh. As LAPD homicide detective Petra Connor desperately searches for the murderer, as the media swarms mercilessly around the story, the vicious madman stalks closer to his prey. Only Petra can save Billy. But it will take all her cunning to uncover a child lost in a fierce urban labyrinth --- where a killer seems right at home ...",428,Ballantine Books,http://images.amazon.com/images/P/0345413865.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413865.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413865.01.LZZZZZZZ.jpg
Birthright,515137111,Nora Roberts,2004,4.07,"When five-thousand-year-old human bones are found at a construction site in the small town of Woodsboro, the news draws archaeologist Callie Dunbrook out of her sabbatical and into a whirlwind of adventure, danger, and romance. While overseeing the dig, she must try to make sense of a cloud of death and misfortune that hangs over the project-fueling rumors that the site is cursed. And she must cope with the presence of her irritating-but irresistible-ex-husband, Jake. Furthermore, when a stranger claims to know a secret about her privileged Boston childhood, she is forced to question her own past as well. A rich, thrilling, suspenseful tale, Birthright follows an inspiring heroine, an intriguing hero, and a cast of fascinating characters whose intertwined lives remind us that there is much more going on under the surface than meets the eye.",502,Jove Books,http://images.amazon.com/images/P/0515137111.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515137111.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515137111.01.LZZZZZZZ.jpg
Bittersweet,440224845,DANIELLE STEEL,2000,4.03,"The new series is set in Vermont. True North is populated by the tough, outdoorsy mountain men that populate the Green Mountain State. They raise cows and they grow apples. They chop a lot of wood, especially when they need to blow off steam. (Beards are optional but encouraged.) If you canít stand the heat, get out of the orchard. The last person Griffin Shipley expects to find stuck in a ditch on his Vermont country road is his ex-hookup. Five years ago theyíd shared a couple of steamy nights together. But that was a lifetime ago. At twenty-seven, Griff is now the accidental patriarch of his family farm. Even his enormous shoulders feel the strain of supporting his mother, three siblings and a dotty grandfather. He doesnít have time for the sorority girl whoís shown up expecting to buy his harvest at half price. Vermont was never in Audrey Kidderís travel plans. Neither was Griff Shipley. But she needs a second chance with the restaurant conglomerate employing her. Okayóa fifth chance. And no self-righteous lumbersexual farmer will stand in her way. Theyíre adversaries. They want entirely different things from life. Too bad their sexual chemistry is as hot as Audreyís top secret enchilada sauce, and then some.",348,Dell,http://images.amazon.com/images/P/0440224845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224845.01.LZZZZZZZ.jpg
Black House,375504397,Stephen King,2001,4.01,"Twenty years ago, a boy named Jack Sawyer travelled to a parallel universe called The Territories to save his mother and her Territories ""twinner"" from a premature and agonizing death that would have brought cataclysm to the other world. Now Jack is a retired Los Angeles homicide detective living in the nearly nonexistent hamlet of Tamarack, WI. He has no recollection of his adventures in the Territories and was compelled to leave the police force when an odd, happenstance event threatened to awaken those memories.When a series of gruesome murders occur in western Wisconsin that are reminiscent of those committed several decades earlier by a real-life madman named Albert Fish, the killer is dubbed ""The Fisherman"" and Jack's buddy, the local chief of police, begs Jack to help his inexperienced force find him. But is this merely the work of a disturbed individual, or has a mysterious and malignant force been unleashed in this quiet town? What causes Jack's inexplicable waking dreams, if that is what they are, of robins' eggs and red feathers? It's almost as if someone is trying to tell him something. As that message becomes increasingly impossible to ignore, Jack is drawn back to the Territories and to his own hidden past, where he may find the soul-strength to enter a terrifying house at the end of a deserted track of forest, there to encounter the obscene and ferocious evils sheltered within it.",688,Random House Trade,http://images.amazon.com/images/P/0375504397.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375504397.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375504397.01.LZZZZZZZ.jpg
Black Notice,399145087,Patricia Daniels Cornwell,1999,3.88,"An intriguing Dr Kay Scarpetta novel which will take Kay an ocean's breadth away from home. The case begins when a cargo ship arriving at Richmond, Virginia's Deep Water Terminal from Belgium is discovered to be transporting a locked, sealed container holding the decomposed remains of a stowaway. The post mortem performed by the Chief Medical Examiner, Kay Scarpetta, initially reveals neither a cause of death nor an identification. But the victim's personal effects and an odd tattoo take Scarpetta on a hunt for information that leads to Interpol's headquarters in Lyon, where she receives critical instructions: go to the Paris morgue to receive secret evidence and then return to Virginia to carry out a mission. It is a mission that could ruin her career. In a story which crosses international borders, BLACK NOTICE puts Dr Kay Scarpetta directly in harm's way and places her and those she holds dear at mortal risk. For more on Patricia Cornwell and her books visit her website at www.patricia-cornwell.com",441,Putnam Pub Group,http://images.amazon.com/images/P/0399145087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399145087.01.LZZZZZZZ.jpg
Black and Blue,440226104,ANNA QUINDLEN,1999,3.89,"For eighteen years, Fran Benedetto kept her secret. And hid her bruises. And stayed with Bobby because she wanted her son to have a father. And because, in spite of everything, she loved him. Then one night, when she saw the look on her ten-year-old son's face, Fran finally made a choice--and ran for both their lives.Now she is starting over in a city far from home, far from Bobby. And in this place she uses a name that isn't hers, and cradles her son in her arms, and tries to forget. For the woman who now calls herself Beth, every day is a chance to heal, to put together the pieces of her shattered self. And every day she waits for Bobby to catch up to her. Because Bobby always said he would never let her go. And despite the flawlessness of her escape, Fran Benedetto is certain of one thing: It is only a matter of time...",288,Dell,http://images.amazon.com/images/P/0440226104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440226104.01.LZZZZZZZ.jpg
Bleachers,385511612,John Grisham,2003,3.48,"High school All-American Neely Crenshaw was probably the best quarterback ever to play for the legendary Messina Spartans. Fifteen years have gone by since those glory days, and Neely has come home to Messina to bury Coach Eddie Rake, the man who molded the Spartans into an unbeatable football dynasty.As Coach Rake's 'boys' sit in the bleachers waiting for the dimming field lights to signal his passing, they replay the old glories, and try to decide once and for all whether they love Eddie Rake ‚Äì or hate him. For Neely Crenshaw, still struggling to come to terms with his explosive relationship with the Coach, his dreams of a great career in the NFL, and the choices he made as a young man, the stakes could not be higher.",229,Doubleday,http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg
Blessings,375502238,ANNA QUINDLEN,2002,3.63,"Late one night, a teenage couple drives up to the big white clapboard home on the Blessing estate and leaves a box. In that instant, the lives of those who live and work there are changed forever. Skip Cuddy, the caretaker, finds a baby girl asleep in that box and decides he wants to keep the child . . . while Lydia Blessing, the matriarch of the estate, for her own reasons, agrees to help him. Blessings explores how the secrets of the past affect decisions and lives in the present; what makes a person or a life legitimate or illegitimate and who decides; and the unique resources people find in themselves and in a community. This is a powerful novel of love, redemption, and personal change by the Pulitzer Prizeñwinning writer about whom The Washington Post Book World said, ìQuindlen knows that all the things we ever will be can be found in some forgotten fragment of family.î",304,Random House,http://images.amazon.com/images/P/0375502238.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375502238.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375502238.01.LZZZZZZZ.jpg
Blood Work,446602620,Michael Connelly,1998,4.13,"New York Times bestselling author Michael Connelly presents his most ambitious, most gripping achievement to date--a novel of masterly suspense and righteous obsession that will never let you go.When Graciella Rivers steps onto his boat, ex-FBI agent Terrell McCaleb has no idea he's about to come out of retirement. He's recuperating from a heart transplant and avoiding anything stressful. But when Graciella tells him the way her sister Gloria was murdered, it leaves Terry no choice. Now the man with the new heart vows to take down a predator without a soul. For Gloria's killer shatters every rule that McCaleb ever learned in his years with the Bureau--as McCaleb gets no more second chances at life...and just one shot at the truth.",480,Warner Books,http://images.amazon.com/images/P/0446602620.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446602620.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446602620.01.LZZZZZZZ.jpg
Blue Diary,425184943,Alice Hoffman,2002,3.56,"From the New York Times best-selling author of The Dovekeepers, a¬†New York Times Bestseller and Notable Book. The courage to face the unthinkable is at the core of this magnificent new novel. How do we manage to confront the truths in our lives and find forgiveness in the most unforgiving of circumstances? How do we love truly and deeply in a world that is as brutal as it is beautiful?When Ethan Ford fails to show up for work on a brilliant summer morning, none of his neighbors would guess that for more than thirteen years, he has been running from his past. His true nature has been locked away, as hidden as his real identity. But sometimes locks spring open, and the devastating truths of Ethan Ford's history shatter the small-town peace of Monroe, affecting family and friends alike.This deeply felt and compelling novel makes it clear why Alice Hoffman has been called ""one of the best writers we have today"" (Cleveland Plain Dealer). Honest, shattering, seductive, and ultimately healing, Blue Diary is an unforgettable novel by a writer who tells ""truths powerful enough to break a reader's heart"" (Time).",304,Berkley Publishing Group,http://images.amazon.com/images/P/0425184943.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425184943.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425184943.01.LZZZZZZZ.jpg
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),380717018,Patricia D. Cornwell,1992,4.02,"After months of menacing phone calls and feeling that her every move is being watched, successful writer Beryl Madison flees Key West when a terrifying message is scratched on her car. But the very night she returns to Richmond, she deactivates her burglar alarm and opens her door to someone who nearly decapitates her. Why did she let him in, wonders Chief Medical Examiner Dr. Kay Scarpetta? And, why is Beryl's latest manuscript missing? Persuing the answers involves Scarpetta in the murder of another writer - Beryl's jealous mentor. While she copes with a variety of personal and professional problems, Scarpetta's high-tech forensic skills enable her to collect a body of evidence - clues that would mean little without her intelligence, compassion, and imagination - that leads her directly into a nightmare all her own.",403,Avon,http://images.amazon.com/images/P/0380717018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg
Body of Lies,553582143,IRIS JOHANSEN,2003,4.08,"Eve Duncan, the signature character of #1 New York Times bestselling author Iris Johansen, thought her past was long buried. Until she finds herself tracking a killer so deceptive he leaves no trace behind--except for his victims. Forensic sculptor Eve Duncan has been summoned to Baton Rouge by a high-ranking government official to identify the remains of an unknown murder victim. Eve wants nothing to do with the project. She has finally found peace from her own tragic past, living a quiet life with Atlanta detective Joe Quinn and her adopted daughter, Jane. Then a stunning series of seemingly unrelated events turns Eve's new world upside down. Now, in a special government facility, she takes on the project of identifying the victim's skeleton. But she hasn't even begun when another death occurs. Someone totally ruthless, who can strike anywhere at any time and with seeming immunity, is determined to put a halt to her work, her life, and the lives of those she loves. Eve has stumbled onto a chilling conspiracy. There is only one person who can give her the devastating truth . . . and he's already dead.",369,Bantam,http://images.amazon.com/images/P/0553582143.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582143.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582143.01.LZZZZZZZ.jpg
Brave New World,60809833,Aldous Huxley,1989,3.99,"Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932. Largely set in a futuristic World State, inhabited by genetically modified citizens and an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation and classical conditioning that are combined to make a dystopian society which is challenged by only a single individual: the story's protagonist.",288,Harpercollins,http://images.amazon.com/images/P/0060809833.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060809833.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060809833.01.LZZZZZZZ.jpg
